SENSACIONAL VILABARCA RIGS,,,,LINKS,,,RIG,,,CONCEPT,,,,MODEL SHEET,EXTRAS,,
105,MELI ABELHA,,SVB_RIG_MELI_ABELHA,SVB_RIG_ABELINHA.tpl.zip,,,RAFAEL,CONCLUÍDO,29/07/2025,OTONIEL,,CONCLUÍDO,25/07/2025,,meli se transforma em um enxame de abelhas,,
105,MELI DESMORTA,,SVB_RIG_MELI_DESMORTA,SVB_RIG_MELLIDESMORTA_A.zip,,,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,14/08/2025,,"um pouco do tom amarelado, os olhos
redondinhos e a mexer as asinhas lentamente.",,
105,MELI DESMORTA,,SVB_RIG_MELI_DESMORTA_B,SVB_RIG_MELLIDESMORTA_B.zip,,,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,14/08/2025,,"com cores parecendo um hematoma e com as asinhas tortas no
céu e treme com um calafrio quando cruzam os olhos.",,
105,MELI DESMORTA,,SVB_RIG_MELI_DESMORTA_C,SVB_RIG_MELLIDESMORTA_C.zip,,,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,14/08/2025,,"agora já totalmente verde, com o corpo
inclinado e as asinhas batendo tortas,",,
105,MENINA NA JANELA,,SVB_104_MENINA JANELA,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,MENINO NA JANELA,,SVB_104_MENINO_JANELA,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,PEPE PESCADOR,,SVB_RIG_PEPE_PESCADOR,,https://syncsketch.com/sketch/a3jqV1ghfpi0/ ,https://drive.google.com/file/d/1jRh9S_xbXn7rH0qfg4ekmSDAy7Rp64dX/view,GENIS,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,12/06/2025,,"senhor pescador com caniço de pesca, 
 chapéu e mastigando tabaco.",,
105,RAI,,SVB_RIG_RAI,,,https://drive.google.com/file/d/17l1HG0H9uz7eDvwtJO5Xbb5546_tRsNj/view?usp=drive_link,TONTON,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,20/03/2025,,,,
105,SEU TONHO,,SVB_RIG_SEUTONHO,SVB_RIG_SEUTONHO.tpl.zip,,https://drive.google.com/file/d/13KsaQeILuPUodEEqat_LJ8b5MymCeKRj/view?usp=drive_link,JACKSON,CONCLUÍDO,16/04/2025,BRUNO,,CONCLUÍDO,10/03/2025,,,,
105,TAVIO,,SVB_RIG_TAVIO,https://drive.google.com/file/d/1PeFWerCmsG-cSRyVCiyOjHffWvQuyY0a/view?usp=drive_link,,https://drive.google.com/file/d/14Fz00hYIxEz8JiH1J1l3a3FHWtcVwhSl/view?usp=drive_link,JACKSON,CONCLUÍDO,02/04/2025,BRUNO,,CONCLUÍDO,07/02/2025,,,,
105,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
105,TIA REBIMBOCA DE MOCHILA,,SVB_104_REBI_MOCHILA,,,,,NÃO INICIADO,,,,NÃO INICIADO,,,,,
105,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
105,XILMARIA,,SVB_RIG_XILMARIA,SVB_RIG_XILMARIA.tpl.zip,,SVB_PER_XILMARIA.png SVB_PER_XILMARIA.zip,JACKSON,CONCLUÍDO,02/09/2025,BRUNO,,CONCLUÍDO,07/05/2025,,Concept concluído em 07/05/25,,
106,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
106,CURUCA,,SVB_RIG_CURUCA,,,,,NÃO INICIADO,,OTONIEL,RAFAEL,EM PRODUÇÃO,,,,,20/05/2025
106,MURIEL,,SVB_RIG_MURIEL,,,,,NÃO INICIADO,,OTONIEL,RAFAEL,EM PRODUÇÃO,,,,,
106,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
106,,,SVB_RIG_XICOde_mochila,,,,,,,,,,,,,,
106,,,SVB_RIG_CARIBEde_mochila,,,,,,,,,,,,,,
106,,,SVB_RIG_CARIBEjuiz,,,,,,,,,,,,,,
106,,,SVB_RIG_SEU_MENINOcom_tipoia,,,,,,,,,,,,,,
106,,,SVB_RIG_CURIQUEAde_paleto,,,,,,,,,,,,Um CURIQUEÃ DE PALETÓ com detalhes marajoara,,
106,,,SVB_RIG_CURIQUEde_trancas,,,,,,,,,,,,"Uma CURIQUEÃ DE TRANÇAS passa
treinando cooper",,
106,,,SVB_RIG_CURINQUEA_ASSUSTADOR,,,,,,,,,,,,"silhueta de um CURINQUEÃ ASSUSTADOR
fazendo movimentos muito esquisitos, na verdade uma dança
grunge. Ele usa FONES e na penumbra brilham como olhos
espaçados. Assustador como um mostro louco! Mexe os braços, gira em torno de si mesmo, dá pequenos saltos sem sair do
lugar.",,
106,,,SVB_RIG_CURIQUEA_BEW,,,,,,,,,,,,"com rosto
adolescente, espinhas",,
107,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
107,MELI,,SVB_RIG_MELI,https://drive.google.com/file/d/1uMNMC0GQDgIe_3ktIWjx0KvmEobMe8fW/view,,SVB_PER_TURN_MELI.jpg SVB_PER_TURN_MELI.psd,GENIS,CONCLUÍDO,30/07/2025,OTONIEL,,CONCLUÍDO,,,,,23/07/2025
107,MELI ABELHA,,SVB_RIG_MELI_ABELHA,SVB_RIG_ABELINHA.tpl.zip,,,RAFAEL,CONCLUÍDO,29/07/2025,OTONIEL,,CONCLUÍDO,25/07/2025,,meli se transforma em um enxame de abelhas,,
107,PEPE PESCADOR,,SVB_RIG_PEPE_PESCADOR,,https://syncsketch.com/sketch/a3jqV1ghfpi0/ ,https://drive.google.com/file/d/1jRh9S_xbXn7rH0qfg4ekmSDAy7Rp64dX/view,GENIS,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,12/06/2025,,"senhor pescador com caniço de pesca, 
 chapéu e mastigando tabaco.",,
107,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
107,,,SVB_RIG_XICO_RIOdoente,,,,,,,,,,,,"com o pescoço inchado,",,
107,,,SVB_RIG_XONIA,,,,,,,,,,,,,,
107,,,SVB_RIG_TUPAM,,,,,,,,,,,,,,
107,,,SVB_RIG_SAPO_CURURU,,,,,,,,,,,,,,
108,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
108,DONA MUNDICA,,SVB_RIG_DONA_MUNDICA,SVB_RIG_DONAMUNDICA.tpl.zip,,SVB_PER_DONAMUNDICA.png SVB_PER_DONAMUNDICA.zip,GENIS,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,30/04/2025,,,,21/07/2025; 24/07/2025
108,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
108,,,SVB_RIG_CARIBEcom_luvamareladelimpeza,,,,,,,,,,,,caribe usa luvas de limpeza amarelas,,
108,,,SVB_RIG_PAPA_PAIDEGUA,,,,,,,,,,,,"Papa Paidégua, cabeçudo e simpático, fala gesticulando muito | a cabeça, que tem o
mesmo tamanho enorme e o formato dele com a indumentária.",,24/03/2025
108,,,SVB_RIG_KUMACANGA,,,,,,,,,,,,,,
108,,,SVB_RIG_KUMACANGAflamejante,,,,,,,,,,,,,45703,
108,,,SVB_RIG_TUFOdeCABELOkumakanga,,,,,,,,,,,,,45701,
108,,,SVB_RIG_TUFOdeCABELOflamejante,,,,,,,,,,,,"Xico se vira e tenta colocar a vassoura em riste, num momento espetacular a Kumacanga se incendia e joga TUFOS DE CABELO FLAMEJANTES em Xico que defende com a vassoura que pega fogo.",,
108,,,SVB_RIG_DONA_PEQUI,,,,,,,,,,,,,,
109,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
109,MELI,,SVB_RIG_MELI,https://drive.google.com/file/d/1uMNMC0GQDgIe_3ktIWjx0KvmEobMe8fW/view,,SVB_PER_TURN_MELI.jpg SVB_PER_TURN_MELI.psd,GENIS,CONCLUÍDO,30/07/2025,OTONIEL,,CONCLUÍDO,,,,,23/07/2025
109,MELI ABELHA,,SVB_RIG_MELI_ABELHA,SVB_RIG_ABELINHA.tpl.zip,,,RAFAEL,CONCLUÍDO,29/07/2025,OTONIEL,,CONCLUÍDO,25/07/2025,,meli se transforma em um enxame de abelhas,,
109,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
109,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
109,,,SVB_RIG_TIA_REBIMBOCAmochilasteampunk,,,,,,,,,,,,"Ao longe veem Tia Rebimboca usar JATOS de sua Mochila e voar
pra perto do DJ Barbicha.",,
109,,,SVB_RIG_TIA_REBIMBOCAkanaime,,,,,,,,,,,,,,
109,,,SVB_RIG_FIGURANTES,,,,,,,,,,,,"FIGURANTES, uma galera, estão perto do DJ
BARBICHA, no centro, num andar mais alto, pulando.",,
109,,,SVB_RIG_KANAIME,,,,,,,,,,,,,,
110,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
110,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
110,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
110,,,SVB_RIG_XICO_RIOaventaldelimpeza,,,,,,,,,,,,,,
110,,,SVB_RIG_CARIBEaventaldelimpeza,,,,,,,,,,,,,23/07/2025; 30/07/2025,
110,,,SVB_RIG_SILHETAS_ICAMIABAS,,,,,,,,,,,,,23/07/2025; 30/07/2025,
110,,,SVB_RIG_ICAMIABA_POTY,,,,,,,,,,,,,,
111,ASS. CURUCA 1,,,,,,,NÃO INICIADO,,,,,,,,,
111,ASS. CURUCA 2,,,,,,,NÃO INICIADO,,,,,,,,,
111,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
111,CURUCA,,SVB_RIG_CURUCA,,,,,NÃO INICIADO,,OTONIEL,RAFAEL,EM PRODUÇÃO,,,,,20/05/2025
111,EXPRESSÃO DE MEDO CRIANÇAS,,SVB_111_EXP_CRIANCAS,,,,,NÃO INICIADO,,,,,,,,,
111,MÃOZONA CARIBÉ,,SVB_111_MAOZONA_CARIBE,,,,,NÃO INICIADO,,,,,,,,,
111,MELI,,SVB_RIG_MELI,https://drive.google.com/file/d/1uMNMC0GQDgIe_3ktIWjx0KvmEobMe8fW/view,,SVB_PER_TURN_MELI.jpg SVB_PER_TURN_MELI.psd,GENIS,CONCLUÍDO,30/07/2025,OTONIEL,,CONCLUÍDO,,,,,23/07/2025
111,MELI ABELHA,,SVB_RIG_MELI_ABELHA,SVB_RIG_ABELINHA.tpl.zip,,,RAFAEL,CONCLUÍDO,29/07/2025,OTONIEL,,CONCLUÍDO,25/07/2025,,meli se transforma em um enxame de abelhas,,
111,MELI URUÇU,,SVB_RIG_MELI_URUCU,MELI URUÇU,,,TONTON,CONCLUÍDO,09/07/2025,OTONIEL,,CONCLUÍDO,,,,,
111,MURIEL,,SVB_RIG_MURIEL,,,,,NÃO INICIADO,,OTONIEL,RAFAEL,EM PRODUÇÃO,,,,,
111,RODOPIO,,SVB_111_RODOPIO,,,,,NÃO INICIADO,,,,,,,,,
111,XICO APICULTOR,,SVB_RIG_XICO_APICULTOR,,,,,NÃO INICIADO,,,,,,,,,
111,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
112,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
112,DONA MUNDICA,,SVB_RIG_DONA_MUNDICA,SVB_RIG_DONAMUNDICA.tpl.zip,,SVB_PER_DONAMUNDICA.png SVB_PER_DONAMUNDICA.zip,GENIS,EM PRODUÇÃO,,BRUNO,,CONCLUÍDO,30/04/2025,,,,21/07/2025; 24/07/2025
112,MELI,,SVB_RIG_MELI,https://drive.google.com/file/d/1uMNMC0GQDgIe_3ktIWjx0KvmEobMe8fW/view,,SVB_PER_TURN_MELI.jpg SVB_PER_TURN_MELI.psd,GENIS,CONCLUÍDO,30/07/2025,OTONIEL,,CONCLUÍDO,,,,,23/07/2025
112,MELI ABELHA,,SVB_RIG_MELI_ABELHA,SVB_RIG_ABELINHA.tpl.zip,,,RAFAEL,CONCLUÍDO,29/07/2025,OTONIEL,,CONCLUÍDO,25/07/2025,,meli se transforma em um enxame de abelhas,,
112,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
112,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
112,ZE CUMBUCA,,SVB_RIG_ZE_CUMBUCA,SVB_RIG_ZE_CUMBUCA.tpl.zip,,https://drive.google.com/file/d/12Oo7MvfKHMMome6BNchRNY0Tgkp6ynVo/view?usp=drive_link,JACKSON,CONCLUÍDO,,BRUNO,,CONCLUÍDO,06/05/2025,,Concept concluído em 06/05/25,,
112,,,SVB_RIG_BOTO_DE_BOTAS,,,,,,,,,,,,"carismático ele tem uma cor azulada, camisa social e chapéu
Panamá, com longas botas, é claro. Ele faz manobras cantando.",,
112,,,SVB_RIG_BOTO_CRESCIDO,,,,,,,,,,,,,,
113,CAMAHUETO,,SVB_RIG_CAMAHUETO,SVB_RIG_CAMAHUETO.tpl.zip,,,JACKSON,CONCLUÍDO,,,,,,,bezerros dourados ,,
113,CARIBÉ,,SVB_RIG_CARIBE,https://drive.google.com/file/d/1C_bV_sIyRgCYTQ8lvnrsBpBUH4nX9LRZ/view?usp=drive_link,https://syncsketch.com/sketch/A6v3tXgUy3v2/#/34646096/36085420,https://drive.google.com/file/d/1kT4BvA4TSU1PnbQghAlwBEAaY-MFzRxy/view,TONTON,CONCLUÍDO,06/06/2025,OTONIEL,,CONCLUÍDO,,,,,16/05/2025; 19/05/2025
113,TIA REBIMBOCA,,SVB_RIG_TIA_REBIMBOCA,https://drive.google.com/file/d/1zrMnDFX8MSJxFAvHf3kJIJgDzMi7-epP/view?usp=drive_link,,SVB_PER_REBIMBOCA_TURN-3.jpg,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,
113,XICO RIO,,SVB_RIG_XICO_RIO,https://drive.google.com/file/d/1zpQx2PqmTvVNGnmTnOp37HRy72k94Tj1/view?usp=drive_link,https://syncsketch.com/sketch/ZDBiZGJlNjMy/#/34675922/36116820,https://drive.google.com/file/d/1IouXkJnJiaHRct4dqOQzsIO3U3PtuumG/view?usp=drive_link,GENIS,CONCLUÍDO,,OTONIEL,,CONCLUÍDO,,,,,20/05/2025
113,,,SVB_RIG_XICOcom_cogumelo,,,,,,,,,,,,xico com um cogumelo na cabeca,,
113,,,SVB_RIG_PLUMA_VALQUIRIA,,,,,,,,,,,,,,
113,,,SVB_RIG_MAYANTU,,,,,,,,,,,,macaco com cara de sapo,,